,MAP_tier,proportion,Vasopressors,Dyna-Q - Vasopressors
0,0,0.5514214046822743,0,<55
1,0,0.21509197324414717,"(0, 8.4)",<55
2,0,0.11789297658862877,"[8.4, 20.28)",<55
3,0,0.11559364548494984,>= 20.28,<55
4,1,0.4399029488615155,0,55-60
5,1,0.23590892123926838,"(0, 8.4)",55-60
6,1,0.125979843225084,"[8.4, 20.28)",55-60
7,1,0.19820828667413215,>= 20.28,55-60
8,2,0.47428498140310377,0,60-65
9,2,0.17558035141721176,"(0, 8.4)",60-65
10,2,0.119276644863409,"[8.4, 20.28)",60-65
11,2,0.2308580223162755,>= 20.28,60-65
12,3,0.44533616795110287,0,>65
13,3,0.18788200903534413,"(0, 8.4)",>65
14,3,0.21174594738240765,"[8.4, 20.28)",>65
15,3,0.15503587563114538,>= 20.28,>65
